ID	Value
htd33	ଭଗବାନ\N_NN କୃଷ୍ଣ\N_NNP ଏହାକୁ\DM_DMD ସମୁଦ୍ରର\N_NN ମଝିରେ\PSP ସ୍ୱତନ୍ତ୍ରଭାବରେ\N_NN ନିର୍ମାଣ\N_NNV କରିଥିଲେ\V_VM_VF |\RD_PUNC
htd34	ପଶ୍ଚିମ\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ସୁରେନ୍ଦ୍ରନଗର\N_NNP -\RD_PUNC ଓଖା\N_NNP ପୋର୍ଟ\N_NN ଲାଇନ୍‌\N_NN ଉପରେ\PSP ଅବସ୍ଥିତ\JJ ଏହି\DM_DMD ନଗରୀ\N_NN ପାଇଁ\PSP ସମୁଦ୍ରକୂଳରେ\N_NN ଏକ\QT_QTC ଷ୍ଟେସନ୍‌\N_NN ଅଛି\V_VM_VF ।\RD_PUNC
htd35	ଯମୁନା\N_NNP ନଦୀକୂଳରେ\N_NN ଭଗବାନ\N_NN ଶ୍ରୀକୃଷ୍ଣଙ୍କର\N_NNP ଅବତାର\JJ ଲୀଳାଭୂମି\N_NN ଏହି\DM_DMD ପବିତ୍ର\JJ ମଥୁରା\N_NNP ନଗରୀ\N_NN ।\RD_PUNC
htd36	ପୂର୍ବତଟ\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ଆଗ୍ରା\N_NNP ଫୋର୍ଟଠାରୁ\N_NN ଗୋରଖ୍‌ପୁର\N_NNP ଯାଇଥିବା\V_VM_VNF ଲାଇନ୍‌\N_NN ତଥା\CC_CCD ପଶ୍ଚିମ\N_NNP ରେଲ୍‌ଓ୍ୱେର\N_NN ମୁମ୍ବାଇ-କୋଟା-ଦିଲ୍ଲୀ\N_NNP ଲାଇନ\N_NN ଉପରେ\PSP ମଥୁରା\N_NNP ଷ୍ଟେସନ୍‌\N_NN ଅବସ୍ଥିତ\V_VM_VF ।\RD_PUNC
htd37	ଗଢ-ମୁକ୍ତେଶ୍ଵର\N_NNP ହିନ୍ଦୁମାନଙ୍କର\N_NN ପବିତ୍ର\JJ ତୀର୍ଥସ୍ଥାନ\N_NN ।\RD_PUNC
htd38	ଗଢ-ମୁକ୍ତେଶ୍ଵରର\N_NNP ଗଙ୍ଗା\N_NNP ମେଳାକୁ\N_NN ଚାଲନ୍ତୁ|\V_VM_VF
htd39	ଗାଜିଆବାଦ୍‌\N_NNP ଜ୍ଜିଲ୍ଲାର\N_NN ଗଢ଼-ମୁକ୍ତେଶ୍ଵରରେ\N_NNP ପତିତପାବନୀ\JJ ଗଙ୍ଗା\N_NNP ତଟରେ\N_NN ପ୍ରତ୍ୟେକ\PR_PRC ବର୍ଷ\N_NN କାର୍ତ୍ତିକପୂର୍ଣ୍ଣିମା\N_NNP ଅବସରରେ\N_NN ହେଉଥିବା\V_VM_VNF ଉତ୍ତରଭାରତର\N_NNP ପ୍ରସିଦ୍ଧ\JJ ଏବଂ\CC_CCD ପ୍ରାଚୀନ\JJ ଧାର୍ମିକ\JJ ମେଳାର\N_NN ଇତିହାସ\N_NN ପ୍ରାୟତଃ\RP_RPD ୫\QT_QTC ହଜାର\QT_QTC ବର୍ଷ\N_NN ପୁରୁଣା\N_NN |\RD_PUNC
htd40	ଏଥର\DM_DMD ମଧ୍ୟ\RP_RPD ଗଢ-ମୁକ୍ତେଶ୍ଵର\N_NNP ମେଳାରେ\N_NN ବିପୁଳ\JJ ଜନସମାଗମ\N_NN ହୋଇଛି\V_VM_VF ଏବଂ\CC_CCD ମୁଖ୍ୟ\JJ ସ୍ନାନ\N_NNV ପାଇଁ\PSP ଶ୍ରଦ୍ଧାଳୁମାନଙ୍କର\N_NN ଭିଡ଼\N_NN ଜମୁଛି\V_VM_VF |\RD_PUNC
htd41	ମୁଖ୍ୟ\JJ ସ୍ନାନ\N_NN ନଭେମ୍ବର\N_NNP ମାସ\N_NN ୧୩\QT_QTC ତାରିଖରେ\N_NN ହେବ\V_VM_VNF ।\RD_PUNC
htd42	ଗଢ-ମୁକ୍ତେଶ୍ଵର\N_NNP ବିଷୟରେ\N_NN କୁହାଯାଏ\V_VM_VNF ଯେ\CC_CCS ମହାଭାରତରେ\N_NNP ବିନାଶକାରୀ\JJ ଯୁଦ୍ଧ\N_NN ପରେ\PSP ଯୋଗୀରାଜ\JJ ଶ୍ରୀକୃଷ୍ଣ\N_NNP ,\RD_PUNC ଧର୍ମରାଜ\JJ ଯୁଧିଷ୍ଠିର\N_NNP ଏବଂ\CC_CCD ଅର୍ଜ୍ଜୁନଙ୍କ\N_NNP ମନରେ\N_NN ଯୁଦ୍ଧର\N_NN ବିଭୀଷିକା\N_NN ଓ\CC_CCD ନରସଂହାର\N_NN ଦେଖି\V_VM_VNF ବହୁତ\RP_INTF ଗ୍ଲାନି\N_NNV ଆସିଥିଲା\V_VM_VF |\RD_PUNC
htd43	ସେମାନେ\PR_PRP ଏହି\DM_DMD ଚିନ୍ତାରେ\N_NN ପଡିଗଲେ\V_VM_VNF ଯେ\CC_CCS ଯୁଦ୍ଧରେ\N_NN ମୃତ୍ୟୁବରଣ\N_NN କରିଥିବା\V_VM_VNF ଅଂସଖ୍ୟ\QT_QTF କୁଟୁମ୍ବ\N_NN ,\RD_PUNC ବନ୍ଧୁ\N_NN ପରିଜନ\N_NN ଏବଂ\CC_CCD ନିର୍ଦ୍ଦୋଷ\JJ ଲୋକମାନଙ୍କର\N_NN ଆତ୍ମାର\N_NN ଶାନ୍ତି\N_NN ପାଇଁ\PSP କଣ\PR_PRQ ଉପାୟ\N_NN କିମ୍ବା\CC_CCD ସଂସ୍କାର\N_NN କରାଯିବ\V_VM_VNF |\RD_PUNC
htd44	ସେତେବେଳେ\CC_CCS ସେମାନେ\PR_PRP ଏକ\QT_QTC ରାୟରୁ\N_NN ନିର୍ଣ୍ଣୟ\N_NN ନେଲେ\V_VM_VF |\RD_PUNC
htd45	ଖାଣ୍ତବବନରେ\N_NNP ଭଗବାନ\N_NN ପର୍ଶୁରାମଙ୍କଦ୍ଵାରା\N_NNP ସ୍ଥାପିତ\JJ ଶିବବଲ୍ଲଭପୁର\N_NNP ନାମକ\N_NN ସ୍ଥାନରେ\N_NN ଥିବା\V_VM_VNF ମୁକ୍ତେଶ୍ଵର\N_NNP ମହାଦେବଙ୍କର\N_NN ପୂଜା\N_NN ,\RD_PUNC ଯଜ୍ଞ\N_NN ତଥା\CC_CCD ପତିତପାବନି\JJ ଗଙ୍ଗାରେ\N_NNP ସ୍ନାନକରି\V_VM_VNF ଏବଂ\CC_CCD ସେଠାରେ\DM_DMD ପିଣ୍ତଦାନ\N_NN କଲେ\V_VM_VNF ସମସ୍ତ\PR_PRC ସଂସ୍କାର\N_NN ପୂର୍ଣ\N_NN ହୋଇଯିବେ\V_VM_VF ।\RD_PUNC
htd46	ଜାଣିରଖିବା\V_VM_VNF ଉଚିତ୍‍\V_VM_VF ଯେ\CC_CCS ଶିବବଲ୍ଲଭପୁର\N_NNP ହିଁ\RP_RPD ବର୍ତ୍ତମାନ\N_NST ଗଢ-ମୁକ୍ତେଶ୍ଵର\N_NNP ନାମରେ\N_NN ପରିଚିତ\V_VM_VF ।\RD_PUNC
htd47	ଭଗବାନ\N_NN ରାମଙ୍କର\N_NNP ପୂର୍ବଜ\N_NN ମହାରାଜ\N_NN ଶିବି\N_NNP ନିଜର\PR_PRF ବାନପ୍ରସ୍ଥ\N_NN ଗଢ-ମୁକ୍ତେଶ୍ଵରରେ\N_NNP ହିଁ\RP_RPD କଟାଇଥିଲେ\V_VM_VF |\RD_PUNC
htd48	ମହାରାଜ\N_NN ଶିବି\N_NNP ଭଗବାନ\N_NN ପର୍ଶୁରାମଙ୍କଦ୍ୱାରା\N_NNP ଏଠାରେ\DM_DMD ଶିବ\N_NNP ମନ୍ଦିରର\N_NN ସ୍ଥାପନା\N_NNV କରାଇଥିଲେ\V_VM_VF |\RD_PUNC
htd49	ସେହି\DM_DMD ସମୟରେ\N_NN ଗଢ-ମୁକ୍ତେଶ୍ଵର\N_NNP ବଲ୍ଲଭ\N_NNP ସଂପ୍ରଦାୟର\N_NN ପ୍ରମୁଖ\JJ କେନ୍ଦ୍ରସ୍ଥଳୀ\N_NN ଥିଲା\V_VM_VF |\RD_PUNC
htd50	ଗଢ଼-ମୁକ୍ତେଶ୍ଵରର\N_NNP ନାମ\N_NN ଶିବବଲ୍ଲଭପୁର\N_NNP ହୋଇଗଲା\V_VM_VF ।\RD_PUNC
htd51	ଗଢ଼-ମୁକ୍ତେଶ୍ୱର\N_NNP ସମ୍ପର୍କିତ\JJ ବର୍ଣ୍ଣନା\N_NN ଶିବପୁରାଣରୁ\N_NNP ମିଳିଥାଏ\V_VM_VF ।\RD_PUNC
htd52	ଏକାଦଶୀରୁ\N_NNP ଚତୁଃର୍ଦଶୀ\N_NNP ପର୍ଯ୍ୟନ୍ତ\PSP ଗଢ଼-ମୁକ୍ତେଶ୍ଵରରେ\N_NNP ମହାଭାରତ\N_NNP ଯୁଦ୍ଧରେ\N_NN ମୃତବରଣ\N_NN କରିଥିବା\V_VM_VNF ସମସ୍ତ\PR_PRC ଲୋକଙ୍କର\N_NN ଅମର\JJ ଆତ୍ମାର\N_NN ସଦ୍‌ଗତି\N_NN ପାଇଁ\PSP ଯାଗଯଜ୍ଞ\N_NN କରାଯାଏ\V_VM_VF ।\RD_PUNC
htd53	ଚତୁଃର୍ଦ୍ଦଶୀ\JJ ଦିନ\N_NN ସଂଧ୍ୟାରେ\N_NN ଯଜ୍ଞର\N_NN ସମାପ୍ତି\N_NNV ପରେ\PSP ଗଙ୍ଗାରେ\N_NNP ଦୀପଦାନ\N_NN ଦେଇ\V_VM_VNF ସେହି\DM_DMD ଅମର\JJ ଆତ୍ମାଗୁଡିକୁ\N_NN ଶ୍ରଦ୍ଧାଞ୍ଜଳୀ\N_NN ଅର୍ପଣ\N_NNV କରାଯାଏ\V_VM_VF ।\RD_PUNC
htd54	ତହିଁଆରଦିନ\N_NST ପ୍ରାତଃକାଳରେ:\N_NST ପୂର୍ଣ୍ଣିମା\N_NN ଦିନ\N_NN ସମସ୍ତେ\PR_PRC ଗଙ୍ଗାସ୍ନାନ\N_NN କରି\V_VM_VNF ପୂଜାଅର୍ଚ୍ଚନା\N_NN ଆଦି\RP_RPD ସମାପନ\N_NNV କରନ୍ତି\V_VM_VF ।\RD_PUNC
htd55	ପ୍ରତ୍ୟେକ\PR_PRC ବର୍ଷ\N_NN ଲକ୍ଷ-ଲକ୍ଷ\QT_QTC ଶ୍ରଦ୍ଧାଳୁ\JJ ଗଢ଼-ମୁକ୍ତେଶ୍ଵର\N_NNP କାର୍ତ୍ତିକପୂର୍ଣ୍ଣିମାରେ\N_NNP କଳୁଷନାଶିନ\JJ ପାପହାରିଣୀ\JJ ଗଙ୍ଗାରେ\N_NNP ସ୍ନାନ\N_NN ଏବଂ\CC_CCD ନିଜ\PR_PRF ଆତ୍ମୀୟ\JJ ସ୍ଵଜନମାନଙ୍କ\N_NN ଆତ୍ମାର\N_NN ଶାନ୍ତି\N_NN ପାଇଁ\PSP ଏଠାରେ\DM_DMD ଦୀପଦାନ\N_NN କରିବାକୁ\V_VM_VINF ଆସନ୍ତି\V_VM_VF |\RD_PUNC
htd56	ଚତୁଃର୍ଦଶୀ\JJ ଦିନ\N_NN ସଂଧ୍ୟାରେ\N_NN ଅସଂଖ୍ୟ\QT_QTF ଲୋକ\N_NN ନିଜର\PR_PRF ସ୍ଵଜନମାନଙ୍କୁ\N_NN ଶ୍ରଦ୍ଧାଞ୍ଜଳି\N_NN ଅର୍ପଣକରିବା\V_VM_VNF ପାଇଁ\PSP ଗଙ୍ଗାରେ\N_NNP ଦୀପଦାନ\N_NNV କରନ୍ତି\V_VM_VF |\RD_PUNC
htd57	ସେହି\DM_DMD ସମୟରେ\N_NN ଗଙ୍ଗାନଦୀର\N_NNP ଧାରା\N_NN ସହିତ\PSP ଭାସମାନ\JJ ଦୀପଗୁଡିକର\N_NN ଦୃଶ୍ୟ\N_NN ବାସ୍ତବିକ\JJ ମନୋହାରୀ\JJ ଓ\CC_CCD ଶାନ୍ତିପ୍ରଦାୟକ\JJ ।\RD_PUNC
htd58	ଗଢ଼-ମୁକ୍ତେଶ୍ଵରରେ\N_NNP ଧାର୍ମିକ\JJ ମହତ୍ତ୍ଵରଖୁଥିବା\N_NN ଅନେକ\QT_QTF ସ୍ଥାନ\N_NN ରହିଛି\V_VM_VF ,\RD_PUNC ଯେପରିକି\CC_CCD ନହୁଷ-କୂପ\N_NNP (ନକ୍‌କା\N_NNP କୁଆଁ)\N_NNP ,\RD_PUNC ମୁକ୍ତେଶ୍ଵର\N_NNP ମହାଦେବଙ୍କର\N_NN ମନ୍ଦିର\N_NN ,\RD_PUNC ବଦ୍ରିନାଥ\N_NNP ମନ୍ଦିର\N_NN ଇତ୍ୟାଦି\RP_RPD |\RD_PUNC
htd59	ପରମ୍ପରା\N_NN ଅଛି\V_VM_VF ଯେ\CC_CCS ବଦ୍ରିନାଥ\N_NNP ମନ୍ଦିରକୁ\N_NN କେବଳ\RP_INTF ଆଳତି\N_NN ସମୟରେ\N_NN ହିଁ\RP_RPD ଖୋଲାଯାଇଥାଏ\V_VM_VF |\RD_PUNC
htd60	ଏହି\DM_DMD ମନ୍ଦିର\N_NN ବର୍ଷରେ\N_NN କେବଳ\CC_CCD ଥରେ\RP_CL ମାତ୍ର\N_NN ଅକ୍ଷୟତୃତୀୟା\N_NNP ଦିନ\N_NN ପର୍ଶୁରାମ\N_NNP ଜୟନ୍ତୀ\N_NN ଦିନ\N_NN ସାରା\QT_QTF ଦର୍ଶନାର୍ଥୀମାନଙ୍କ\N_NN ପାଇଁ\PSP ଖୋଲାହୋଇଥାଏ\V_VM_VF |\RD_PUNC
htd61	ମୁକ୍ତେଶ୍ଵର\N_NNP ମହାଦେବ\N_NN ମନ୍ଦିର\N_NN ସାମ୍ନାରେ\PSP ସୁବିସ୍ତୃତ\JJ ବାଲି\N_NN ପଡିଆ\N_NN ରହିଛି\V_VM_VF ,\RD_PUNC ତାହା\DM_DMD ମିରାବାଈଙ୍କର\N_NNP ବାଲି\N_NN ନାମରେ\N_NN ଚିରପରିଚିତ\V_VM_VF ।\RD_PUNC
htd62	ଥରେ\RP_CL ମୀରାବାଈ\N_NNP ଏଠାକୁ\DM_DMD ଗଙ୍ଗାସ୍ନାନ\N_NN ପାଇଁ\PSP ଆସିଥିଲେ\V_VM_VF ବୋଲି\CC_CCD ଏକ\QT_QTC ବିଶ୍ୱାସ\N_NNV ରହିଛି\V_VM_VF ।\RD_PUNC
htd63	କୁହାଯାଏ\V_VM_VF ଯେ\CC_CCD କି\CC_CCD ଥରେ\RP_CL ମାତା\N_NN ପାର୍ବତୀ\N_NNP ପ୍ରଭୁ\N_NN ଶଙ୍କରଙ୍କୁ\PR_PRP ପ୍ରଶ୍ନ\N_NN କରିଥିଲେ|\V_VM_VF
